Gender,Major,Type,EorI,SorN,TorF,JorP,Accuracy,Vacation,Semester
Male,Computer Science,ISFJ,Introvert,Sensing,Feeling,Judging,7,Mountains,F16
Male,Computer Science,INFJ,Introvert,Intuitive,Feeling,Judging,5,Mountains,F16
Female,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,Mountains,F16
Male,Computer Science,ISFJ,Introvert,Sensing,Feeling,Judging,5,Mountains,F16
Male,Computer Science,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,Mountains,F16
Female,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,Mountains,F16
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,4,Beach,F16
Male,Computer Science,ESFJ,Extravert,Sensing,Feeling,Judging,3,Beach,F16
Male,Computer Science,ESTP,Extravert,Sensing,Thinking,Perceiving,4,Mountains,F16
Male,Computer Science,ENTP,Extravert,Intuitive,Thinking,Perceiving,5,Mountains,F16
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,7,Mountains,F16
Male,Computer Science,INTP,Introvert,Intuitive,Thinking,Perceiving,6,Mountains,F16
Male,Computer Science,ESTJ,Extravert,Sensing,Thinking,Judging,7,Beach,F16
Male,Computer Science,ISTJ,Introvert,Sensing,Thinking,Judging,5,Mountains,F16
Male,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,F16
Female,Computer Science,INFJ,Introvert,Intuitive,Feeling,Judging,6,Beach,F16
Male,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,7,Mountains,F16
Male,Computer Science,ENTJ,Extravert,Intuitive,Thinking,Judging,7,Beach,F16
Male,Computer Science,ISFJ,Introvert,Sensing,Feeling,Judging,7,Beach,F16
Female,Computer Science,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,Beach,F16
Female,Computer Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,F16
Male,Computer Science,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,Mountains,F16
Male,Computer Science,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,Mountains,F16
Male,Environmental Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,Mountains,F16
NA,Environmental Science,ENTP,Extravert,Intuitive,Thinking,Perceiving,5,Mountains,F16
Male,Environmental Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Mountains,F16
